Make,Variant,Length (ft),Geographic Region,Country/Region/State ,Listing Price (USD),Year,IsCatamarans,LOA,LWL,Beam,SA,Draft,Displacement,GDP,Gini,YearDis
Beneteau,Oceanis 46,47,Europe,Monaco,182204,2008,0,14.4,12.2,4.25,81.57,2.05,10565,199377,47.75,12
Bavaria,56 Cruiser,54,Europe,Monaco,734791,2017,0,16.45,15.63,4.76,144.93,2.46,18596,199377,47.75,3
Beneteau,423,43,USA,Alabama,176000,2006,0,13.11,11.61,4.11,86.77,1.65,8875,46088.58,47.53,14
Bavaria,42 Cruiser,42,USA,California,109000,2006,0,12.99,11.4,3.99,85.47,1.8,9200,76955.76,48.58,14
Hunter,38,38,USA,California,109700,2007,0,11.63,10.57,3.94,92.07,1.98,8320,76955.76,48.58,13
Hunter,41,40,USA,California,120000,2006,0,12.06,9.91,4.09,73.11,1.98,7893,76955.76,48.58,14
Hunter,41 DS,40,USA,California,120000,2008,0,12.29,10.82,4.04,72.37,1.98,8800,76955.76,48.58,12
Hunter,41 DS,40,USA,California,120000,2009,0,12.29,10.82,4.04,72.37,1.98,8800,76955.76,48.58,11
C&C,115,38,USA,California,129900,2006,0,11.51,10.06,3.63,72.56,2.03,5352,76955.76,48.58,14
Hunter,41 DS,40,USA,California,132000,2005,0,12.29,10.82,4.04,72.37,1.98,8800,76955.76,48.58,15
Hunter,38,38,USA,California,135000,2009,0,11.63,10.57,3.94,92.07,1.98,8320,76955.76,48.58,11
C&C,115,38,USA,California,144900,2006,0,11.51,10.06,3.63,72.56,2.03,5352,76955.76,48.58,14
Beneteau,First 44.7,44,USA,California,149000,2005,0,13.66,11.48,3.96,95.88,2.08,9129,76955.76,48.58,15
Beneteau,Cyclades 39.3,39,USA,California,149000,2006,0,11.97,10.67,3.95,59.37,1.9,7095,76955.76,48.58,14
Jeanneau,Sun Odyssey 39i,39,USA,California,149000,2008,0,11.86,10.71,3.88,62.25,2,7330,76955.76,48.58,12
Beneteau,First 40,40,USA,California,155000,2011,0,12.24,10.67,3.89,78.78,2.45,7536,76955.76,48.58,9
Hunter,39,39,USA,California,155000,2011,0,12.02,10.57,3.94,92.07,1.98,8200,76955.76,48.58,9
Hunter,44 DS,44,USA,California,159000,2005,0,12.29,10.82,4.04,72.37,1.98,8800,76955.76,48.58,15
Jeanneau,42 DS,42,USA,California,169000,2007,0,12.6,11.2,4.4,98.7,1.95,12600,76955.76,48.58,13
Beneteau,First 44.7,44,USA,California,180000,2005,0,13.66,11.48,3.96,95.88,2.08,9129,76955.76,48.58,15
Beneteau,43,43,USA,California,185000,2010,0,13.11,11.61,4.11,86.77,1.65,8875,76955.76,48.58,10
Catalina,42 MK II,42,USA,California,188000,2008,0,12.76,10.97,4.22,74.04,2.03,9299,76955.76,48.58,12
J Boats,J 122,40,USA,California,189000,2006,0,12.19,10.55,3.63,80.36,2.2,6759,76955.76,48.58,14
Beneteau,43,43,USA,California,189500,2008,0,13.11,11.61,4.11,86.77,1.65,8875,76955.76,48.58,12
Beneteau,Oceanis 38,38,USA,California,189900,2015,0,11.5,10.72,3.99,65.7,2.08,6850,76955.76,48.58,5
J Boats,J 122,40,USA,California,195000,2005,0,12.19,10.55,3.63,80.36,2.2,6759,76955.76,48.58,15
Jeanneau,Sun Odyssey 439,43,USA,California,197777,2012,0,13.34,12,4.24,85.19,2.2,9880,76955.76,48.58,8
Catalina,385,38,USA,California,199000,2012,0,11.94,10.49,3.99,62.9,2.08,7031,76955.76,48.58,8
Hanse,385,37,USA,California,199000,2015,0,11.4,10.4,3.88,67.26,1.99,7600,76955.76,48.58,5
Beneteau,Oceanis 38,38,USA,California,199000,2016,0,11.5,10.72,3.99,65.7,2.08,6850,76955.76,48.58,4
Catalina,Morgan 440,46,USA,California,199900,2005,0,14,12.37,4.27,86.59,1.52,11579,76955.76,48.58,15
Hunter,45 Center Cockpit,45,USA,California,205000,2006,0,11.98,11.94,6.91,90.95,1.35,8502,76955.76,48.58,14
Beneteau,Oceanis 38,37,USA,California,205000,2017,0,11.5,10.72,3.99,65.7,2.08,6850,76955.76,48.58,3
Beneteau,Oceanis 38,38,USA,California,210000,2015,0,11.5,10.72,3.99,65.7,2.08,6850,76955.76,48.58,5
Beneteau,Sense 43,43,USA,California,219000,2012,0,13.16,11.94,4.27,84.73,2.01,10070,76955.76,48.58,8
Jeanneau,409,41,USA,California,219000,2012,0,12.42,10.97,3.81,74.97,1.8,8981,76955.76,48.58,8
Beneteau,Oceanis 41,40,USA,California,219500,2013,0,12.38,11.3,4.2,83.8,2.05,8450,76955.76,48.58,7
Beneteau,Oceanis 41 Owners Version,40,USA,California,220000,2013,0,13.72,11.61,4.37,104.2,2.3,9900,76955.76,48.58,7
Beneteau,Oceanis 38,38,USA,California,220000,2017,0,11.5,10.72,3.99,65.7,2.08,6850,76955.76,48.58,3
J Boats,J 122,40,USA,California,225000,2007,0,12.19,10.55,3.63,80.36,2.2,6759,76955.76,48.58,13
Beneteau,Oceanis 473,47,USA,California,229000,2006,0,14.3,13.36,4.32,83.43,1.7,11012,76955.76,48.58,14
Beneteau,Oceanis 46,47,USA,California,229000,2009,0,14.4,12.2,4.25,81.57,2.05,10565,76955.76,48.58,11
Bavaria,Vision 46,46,USA,California,234900,2013,0,13.99,12.83,4.19,91.79,2.14,12300,76955.76,48.58,7
Beneteau,Oceanis 41,40,USA,California,244900,2015,0,12.38,11.3,4.2,83.8,2.05,8450,76955.76,48.58,5
Hunter,45 Center Cockpit,45,USA,California,245000,2008,0,11.98,11.94,6.91,90.95,1.35,8502,76955.76,48.58,12
Hunter,49,50,USA,California,249000,2007,0,15.22,13.36,4.5,118.64,1.68,14884,76955.76,48.58,13
Jeanneau,Sun Odyssey 49 DS,49,USA,California,249000,2007,0,14.98,12.9,4.99,90.77,2.15,12701,76955.76,48.58,13
Beneteau,Oceanis 49,49,USA,California,249000,2008,0,12.15,10.35,3.91,63.27,1.9,8260,76955.76,48.58,12
Catalina,385,38,USA,California,249900,2015,0,11.94,10.49,3.99,62.9,2.08,7031,76955.76,48.58,5
Beneteau,Oceanis 50,49,USA,California,250000,2010,0,15.1,13.3,4.5,109.9,1.7,12453,76955.76,48.58,10
Beneteau,Oceanis 38.1,38,USA,California,254000,2019,0,9.53,8.65,2.99,39.5,1.88,3995,76955.76,48.58,1
Hunter,49,50,USA,California,259000,2009,0,15.22,13.36,4.5,118.64,1.68,14884,76955.76,48.58,11
Jeanneau,Sun Odyssey 39 DS,39,Europe,Ireland,115396,2007,0,11.86,10.72,3.89,65.87,2.01,7861,80927,33.8,13
Jeanneau,Sun Odyssey 39 DS,39,Europe,Ireland,115912,2007,0,11.86,10.72,3.89,65.87,2.01,7861,80927,33.8,13
Wauquiez,Pilot Saloon 41,42,Europe,Ireland,156696,2006,0,12.95,11,4.04,64.1,2,10000,80927,33.8,14
Hanse,531,53,Europe,Ireland,179775,2006,0,16.2,14.55,4.93,133.32,2.77,19000,80927,33.8,14
Hanse,531,53,Europe,Ireland,179782,2006,0,16.2,14.55,4.93,133.32,2.77,19000,80927,33.8,14
Hanse,531,53,Europe,Ireland,200433,2005,0,16.2,14.55,4.93,133.32,2.77,19000,80927,33.8,15
Hanse,455,44,Europe,Ireland,338900,2017,0,13.55,12.2,4.38,102.99,2.25,11600,80927,33.8,3
Jeanneau,Sun Odyssey 490,48,Europe,Ireland,423929,2019,0,12.34,11,3.99,71.81,2.1,7450,80927,33.8,1
Hunter,38,38,Europe,Cork,95961,2006,0,11.63,10.57,3.94,92.07,1.98,8320,80927,30.8,14
Catalina,445,44,USA,California,259000,2010,0,13.54,11.68,4.14,79.53,2.11,10659,76955.76,48.58,10
Bavaria,Vision 46,46,USA,California,269000,2014,0,13.99,12.83,4.19,91.79,2.14,12300,76955.76,48.58,6
Jeanneau,Sun Odyssey 419,41,USA,California,279900,2018,0,12.75,11,3.99,75.99,2.1,7860,76955.76,48.58,2
Jeanneau,Sun Odyssey 419,41,USA,California,297000,2019,0,12.75,11,3.99,75.99,2.1,7860,76955.76,48.58,1
Sabre,426,42,USA,California,299000,2008,0,12.95,10.97,4.09,85.47,2.08,10886,76955.76,48.58,12
Beneteau,First 50,49,USA,California,299900,2007,0,14.98,13.26,4.42,110.83,2.39,13780,76955.76,48.58,13
Catalina,470,47,USA,California,299900,2009,0,14.53,12.8,4.27,93.83,2.39,12247,76955.76,48.58,11
Beneteau,Oceanis 45,45,USA,California,309900,2015,0,13.84,12.8,4.5,99.96,2.16,9547,76955.76,48.58,5
Jeanneau,Sun Odyssey 49 DS,49,USA,California,335000,2005,0,14.98,12.9,4.99,90.77,2.15,12701,76955.76,48.58,15
Beneteau,523,53,USA,California,337000,2006,0,16.25,14.63,4.88,150.87,2.35,14000,76955.76,48.58,14
X-Yachts,Xc 38,38,USA,California,350000,2015,0,11.58,10.38,3.81,80.3,1.98,8700,76955.76,48.58,5
Tayana,52 DS,52,USA,California,365000,2007,0,15.98,12.83,4.57,107.58,1.98,17495,76955.76,48.58,13
Beneteau,Sense 50,49,USA,California,375000,2012,0,14.98,14.05,4.86,127,2.2,15295,76955.76,48.58,8
Tayana,48,48,USA,California,386000,2006,0,14.63,12.27,4.42,122.26,1.83,15876,76955.76,48.58,14
Jeanneau,Sun Odyssey 509,50,USA,California,389000,2014,0,15.38,13.92,4.69,113.9,2.28,13900,76955.76,48.58,6
Beneteau,Oceanis 48,48,USA,California,389000,2016,0,14.61,13.11,4.75,104.42,2.16,13296,76955.76,48.58,4
Hanse,540e,52,USA,California,397000,2008,0,16.08,14.6,4.91,133.32,2.8,18700,76955.76,48.58,12
Beneteau,Sense 50,49,USA,California,399650,2012,0,14.98,14.05,4.86,127,2.2,15295,76955.76,48.58,8
Jeanneau,Sun Odyssey 53,53,USA,California,440500,2014,0,13.72,11.61,4.37,100.6,2.05,9900,76955.76,48.58,6
Island Packet,485,52,USA,California,447000,2007,0,15.9,13.16,4.67,114.64,1.6,20026,76955.76,48.58,13
Beneteau,Oceanis 45,45,USA,California,459000,2019,0,13.84,12.8,4.5,99.96,2.16,9547,76955.76,48.58,1
Dufour,460,46,USA,California,469000,2019,0,12.32,10.74,3.9,80.49,1.65,7800,76955.76,48.58,1
Morris,Ocean Series 48,48,USA,California,479000,2005,0,11.55,11.25,3.91,55.93,1.8,7900,76955.76,48.58,15
Sabre,456 MK II,46,USA,California,509000,2011,0,17.4,16.4,8.36,154.87,2.6,10400,76955.76,48.58,9
Beneteau,Oceanis 55,55,USA,California,535000,2014,0,16.79,15.16,4.95,134.71,2.21,16695,76955.76,48.58,6
Hanse,548,54,USA,California,746498,2018,0,16.22,14.9,5.05,136.1,2.55,19600,76955.76,48.58,2
Antares,44GS,44,USA,California,910000,2018,1,13.41,13.26,6.63,78.87,1.22,10206,76955.76,48.58,2
Moody,54,54,USA,California,919000,2016,0,16.43,14.05,4.85,119.75,1.8,20018,76955.76,48.58,4
Lagoon,52,52,USA,California,949000,2015,1,15.85,15.06,8.74,155.98,1.55,26038,76955.76,48.58,5
Hunter,38,38,USA,Connecticut,95000,2006,0,11.63,10.57,3.94,92.07,1.98,8320,80016.86,49.3,14
Dehler,37,36,USA,Connecticut,118000,2014,0,11.01,8.6,3.53,54.44,1.65,5126,80016.86,49.3,6
Beneteau,Oceanis 423,43,USA,Connecticut,139995,2005,0,13.15,11.75,3.94,79.9,1.7,8845,80016.86,49.3,15
Beneteau,Oceanis 43,43,USA,Connecticut,189000,2010,0,13.15,11.75,3.94,79.9,1.7,8845,80016.86,49.3,10
Beneteau,Oceanis 46,47,USA,Connecticut,219000,2011,0,14.4,12.2,4.25,81.57,2.05,10565,80016.86,49.3,9
